Student;OS ?;Comment - Which Operating System are you using ?;Python ?;Version ?;Virtual ?;IDE ?;R ?;Version ?;second
student1;Mac;;Yes;3.9;conda;idle;yes;4;
student2;Windows 10;;Yes;3.8;conda;notebook/spyder;yes;4;
student3;Windows 10;;Yes;3.9;conda;pycharm/sublime;yes;4;
student4;Windows 10;;Yes;3.9;conda;pycharm;yes;4;
student5;Windows 10;;Yes;3.7;conda;atom;no;;
student6;Windows 10;;Yes;3.9;no;pycharm;yes;4;
student7;Linux;;Yes;3.8;conda;pycharm;yes;3.2;
student8;Windows 10;;Yes;3.8;conda;pycharm;no;;
student9;Windows 10;;Yes;3.8;conda;jupyter;yes;3.6;
student10;Windows 10;;Yes;;conda;no;yes;;
student11;Windows 10;;Yes;3.9;conda;conda;no;;
student12;Windows 10;;Yes;3.8;conda;jupyter;yes;4;
student13;Windows 10;;Yes;3.8;conda;no;yes;1.4;
student14;Mac;;Yes;3.7;no;no;no;;
student15;Windows 10;;Yes;3.8;conda;no;no;;
student16;Windows 10;;Yes;3.7;conda;no;yes;4;
student17;Linux;;Yes;3.9;virtualenv;pycharm;yes;4;
student18;Windows 10;;Yes;3.8;conda;vscode;yes;4;
student19;Windows 10;;Yes;;no;no;no;;
student20;Windows 10;;Yes;3.8;no;no;yes;4;
student21;Windows 10;;Yes;3.7;conda;pycharm;yes;4;
student22;Windows 10;;Yes;3.8;conda;vscode;yes;4;
student23;Mac;;Yes;3.8;conda;other;yes;latest;
student24;Windows 10;;Yes;3;no;no;yes;1.4;
